Method,Energy (Ha),Error vs FCI (mHa),Error (kcal/mol),Chemical Accuracy?
HF,-77.07212302668947,44.506134299325595,27.9280209267515,✗
CISD,-77.2228638202491,-106.23465926030917,-66.66325515970925,✗
FCI (full),-77.2353953665116,-118.76620552280315,-74.52691916408425,✗
FCI (AS),-77.1166291609888,0.0,0.0,✓
VQE-UCCSD,-77.11662916086124,1.2755663192365319e-07,8.004299501167204e-08,✓
