Optimizer,Final Energy (Ha),Wall time (s),Function evals
SLSQP,-77.11662916084839,0.2665693759918213,16
COBYLA,-77.1166291599126,0.3724637031555176,41
L-BFGS-B,-77.11662916098877,0.26350831985473633,20
